EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL40,成功路二段373號前,往北,2016-11-14,00:00:00,2,409.0,430.67798,29.0,380.0,0.0,56.029434,2.53,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,01:00:00,2,222.0,229.8305,8.0,214.0,0.0,61.02108,1.2850001,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,02:00:00,2,143.0,146.0,6.0,137.0,0.0,61.896717,0.76,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,03:00:00,2,84.0,86.94915,3.0,81.0,0.0,60.668804,0.515,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,04:00:00,2,56.0,58.983047,4.0,52.0,0.0,59.407322,0.39000002,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,05:00:00,2,51.0,52.37288,1.0,50.0,0.0,61.941177,0.31,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,06:00:00,2,136.0,142.88135,9.0,127.0,0.0,54.414707,0.875,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,07:00:00,2,438.0,486.8421,49.0,389.0,0.0,55.194313,2.845,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,08:00:00,2,1008.0,1059.661,68.0,940.0,0.0,55.217827,6.1,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,09:00:00,2,1113.0,1167.9661,71.0,1042.0,0.0,54.46496,6.815,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,10:00:00,2,1076.0,1150.1694,110.0,966.0,0.0,49.445,7.5200005,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,11:00:00,2,932.0,995.5932,94.0,838.0,0.0,50.792706,6.3450003,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,12:00:00,2,942.0,997.6271,78.0,864.0,0.0,50.17667,6.4,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,13:00:00,2,872.0,915.7627,57.0,815.0,0.0,53.464756,5.415,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,14:00:00,2,758.0,799.83044,57.0,701.0,0.0,52.712082,4.8050003,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,15:00:00,2,873.0,928.44824,49.0,824.0,0.0,51.80897,5.77,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,16:00:00,2,1033.0,1079.4915,57.0,976.0,0.0,52.833675,6.425,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,17:00:00,2,1093.0,1143.0508,62.0,1031.0,0.0,52.15924,6.935,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,18:00:00,2,1290.0,1348.983,73.0,1217.0,0.0,49.50366,8.67,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,19:00:00,2,1356.0,1422.2034,85.0,1271.0,0.0,47.55015,9.375,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,20:00:00,2,1039.0,1097.7966,81.0,958.0,0.0,46.406094,7.59,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,21:00:00,2,960.0,1004.7457,56.0,904.0,0.0,48.530342,6.61,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,22:00:00,2,927.0,980.339,74.0,853.0,0.0,52.719677,5.975,0.0
VQKWL40,成功路二段373號前,往北,2016-11-14,23:00:00,2,665.0,702.71185,52.0,613.0,0.0,54.840836,4.065,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,00:00:00,2,386.0,409.32202,33.0,353.0,0.0,54.908363,2.37,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,01:00:00,2,202.0,207.45763,4.0,198.0,0.0,61.032574,1.165,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,02:00:00,2,154.0,159.66101,6.0,148.0,0.0,61.784218,0.88,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,03:00:00,2,91.0,96.61017,8.0,83.0,0.0,63.65088,0.495,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,04:00:00,2,62.0,64.57627,3.0,59.0,0.0,66.50032,0.375,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,05:00:00,2,70.0,72.203384,2.0,68.0,0.0,65.34286,0.44,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,06:00:00,2,133.0,179.34784,9.0,124.0,0.0,57.669476,1.0,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,07:00:00,2,410.0,630.0,41.0,369.0,0.0,57.42342,3.42,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,08:00:00,2,1115.0,1171.0168,73.0,1042.0,0.0,54.0122,6.88,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,09:00:00,2,1101.0,1150.678,61.0,1040.0,0.0,54.625008,6.575,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,10:00:00,2,1051.0,1135.9321,132.0,919.0,0.0,49.61941,7.415,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,11:00:00,2,982.0,1047.9661,97.0,885.0,0.0,50.53012,6.715,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,12:00:00,2,941.0,990.5084,66.0,875.0,0.0,50.361668,6.27,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,13:00:00,2,912.0,941.0,58.0,854.0,0.0,52.685223,5.7,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,14:00:00,2,780.0,837.931,60.0,720.0,0.0,53.87828,4.87,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,15:00:00,2,860.0,900.5084,51.0,809.0,0.0,51.78116,5.535,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,16:00:00,2,941.0,995.0847,75.0,866.0,0.0,50.594738,6.205,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,17:00:00,2,1011.0,1056.1017,55.0,956.0,0.0,50.710537,6.545,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,18:00:00,2,1211.0,1266.1017,68.0,1143.0,0.0,50.812614,7.865,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,19:00:00,2,1357.0,1418.644,76.0,1281.0,0.0,49.010963,9.135,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,20:00:00,2,1160.0,1227.4575,94.0,1066.0,0.0,47.361195,8.34,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,21:00:00,2,955.0,1007.79663,72.0,883.0,0.0,49.35846,6.51,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,22:00:00,2,898.0,939.661,52.0,846.0,0.0,51.480476,5.785,0.0
VQKWL40,成功路二段373號前,往北,2016-11-15,23:00:00,2,687.0,722.54236,47.0,640.0,0.0,54.59831,4.185,0.0
VQKWL40,成功路二段373號前,往北,2016-11-16,00:00:00,2,366.0,387.9661,31.0,335.0,0.0,57.327213,2.26,0.0
VQKWL40,成功路二段373號前,往北,2016-11-16,01:00:00,2,214.0,220.67795,6.0,208.0,0.0,60.631123,1.165,0.0
VQKWL40,成功路二段373號前,往北,2016-11-16,02:00:00,2,154.0,160.16948,7.0,147.0,0.0,59.11376,0.89,0.0
VQKWL40,成功路二段373號前,往北,2016-11-16,03:00:00,2,69.0,72.203384,4.0,65.0,0.0,65.36087,0.41500002,0.0
VQKWL40,成功路二段373號前,往北,2016-11-16,04:00:00,2,54.0,56.94915,4.0,50.0,0.0,63.775555,0.35999998,0.0
VQKWL40,成功路二段373號前,往北,2016-11-16,05:00:00,2,72.0,76.27119,6.0,66.0,0.0,57.850418,0.445,0.0
VQKWL40,成功路二段373號前,往北,2016-11-16,06:00:00,2,165.0,171.35593,7.0,158.0,0.0,55.1,1.01,0.0
