EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VL9SB00,基隆路一段8號前,往北,2016-11-14,00:00:00,4,245.0,256.27118,14.0,231.0,0.0,47.302654,0.935,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,01:00:00,4,172.0,178.47456,7.0,165.0,0.0,48.731106,0.60249996,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,02:00:00,4,116.0,121.016945,6.0,110.0,0.0,49.982243,0.43,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,03:00:00,4,79.0,82.37288,4.0,75.0,0.0,51.849617,0.285,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,04:00:00,4,54.0,55.932205,2.0,52.0,0.0,46.352592,0.22250001,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,05:00:00,4,74.0,78.30508,6.0,68.0,0.0,50.962025,0.255,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,06:00:00,4,95.0,101.18644,9.0,86.0,0.0,52.443684,0.3475,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,07:00:00,4,210.0,232.37288,37.0,173.0,0.0,46.701237,0.90500003,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,08:00:00,4,704.0,780.5084,127.0,577.0,0.0,39.92648,3.2399998,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,09:00:00,4,1098.0,1227.4575,218.0,880.0,0.0,37.111153,5.8275,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,10:00:00,4,860.0,929.99994,109.0,751.0,0.0,41.04685,3.835,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,11:00:00,4,736.0,800.339,102.0,634.0,0.0,42.924755,3.16,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,12:00:00,4,785.0,856.7796,115.0,670.0,0.0,39.445007,3.72,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,13:00:00,4,695.0,755.5932,96.0,599.0,0.0,41.752747,3.045,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,14:00:00,4,713.0,768.81354,86.0,627.0,0.0,41.009945,3.0675,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,15:00:00,4,817.0,902.5862,111.0,706.0,0.0,41.912178,3.69,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,16:00:00,4,846.0,925.9322,129.0,717.0,0.0,39.577614,4.0075,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,17:00:00,4,836.0,927.4576,152.0,684.0,0.0,38.949047,4.09,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,18:00:00,4,957.0,1078.983,208.0,749.0,0.0,34.851513,5.5925,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,19:00:00,4,1055.0,1217.0691,243.0,812.0,0.0,35.586487,6.0649996,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,20:00:00,4,777.0,865.4237,148.0,629.0,0.0,40.97972,3.61,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,21:00:00,4,583.0,645.2542,103.0,480.0,0.0,40.59259,2.665,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,22:00:00,4,560.0,607.11865,74.0,486.0,0.0,40.76384,2.44,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-14,23:00:00,4,474.0,512.0339,59.0,415.0,0.0,40.9627,2.0525,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,00:00:00,4,295.0,313.22034,26.0,269.0,0.0,43.969696,1.2249999,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,01:00:00,4,237.0,248.64407,15.0,222.0,0.0,46.682407,0.9375,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,02:00:00,4,163.0,171.86441,12.0,151.0,0.0,44.012333,0.6525,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,03:00:00,4,109.0,115.42372,9.0,100.0,0.0,49.83422,0.4225,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,04:00:00,4,77.0,82.37288,8.0,69.0,0.0,45.712204,0.31500003,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,05:00:00,4,103.0,109.32203,9.0,94.0,0.0,46.84553,0.415,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,06:00:00,4,124.0,132.71185,13.0,111.0,0.0,42.05492,0.53249997,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,07:00:00,4,237.0,260.33896,38.0,199.0,0.0,45.445866,1.0500001,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,08:00:00,4,710.0,776.4407,107.0,603.0,0.0,40.409157,3.2350001,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,09:00:00,4,1068.0,1194.9152,214.0,854.0,0.0,37.063248,6.1625,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,10:00:00,4,820.67,893.0429,115.0,705.0,0.0,39.503796,3.875,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,11:00:00,4,719.0,798.95386,129.0,590.0,0.0,38.861168,3.82,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,12:00:00,4,696.0,757.6271,98.0,598.0,0.0,40.430042,3.2975,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,13:00:00,4,681.0,731.69495,77.0,604.0,0.0,41.85514,2.8149998,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,14:00:00,4,744.0,814.138,86.0,658.0,0.0,38.978477,3.3849998,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,15:00:00,4,806.0,873.55927,106.0,700.0,0.0,39.135883,3.83,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,16:00:00,4,793.0,865.4237,116.0,677.0,0.0,37.853115,3.8075,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,17:00:00,4,847.33,933.21136,139.0,699.0,0.0,36.21159,4.3399997,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,18:00:00,4,929.0,1037.6212,178.0,751.0,0.0,34.33393,5.045,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,19:00:00,4,947.0,1086.7242,207.0,740.0,0.0,34.815937,5.4,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,20:00:00,4,755.0,824.7457,112.0,643.0,0.0,40.49184,3.4025002,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,21:00:00,4,606.0,663.05084,92.0,514.0,0.0,40.589375,2.7525,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,22:00:00,4,546.0,600.5084,89.0,457.0,0.0,41.980618,2.4625,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-15,23:00:00,4,448.0,481.52542,51.0,397.0,0.0,42.763973,1.905,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,00:00:00,4,337.0,361.01694,36.0,301.0,0.0,42.345074,1.4425001,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,01:00:00,4,205.0,220.16948,23.0,182.0,0.0,41.87605,0.885,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,02:00:00,4,176.0,190.1695,22.0,154.0,0.0,44.165966,0.735,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,03:00:00,4,125.0,136.27118,18.0,107.0,0.0,41.973923,0.52500004,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,04:00:00,4,109.0,121.01695,20.0,89.0,0.0,41.597343,0.485,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,05:00:00,4,99.0,104.74576,8.0,91.0,0.0,46.23242,0.405,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,06:00:00,4,92.0,101.69491,16.0,76.0,0.0,45.77337,0.41250002,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,07:00:00,4,252.0,279.15253,45.0,207.0,0.0,41.4071,1.17,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,08:00:00,4,713.0,785.0847,118.0,595.0,0.0,39.017857,3.3274999,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,09:00:00,4,1015.0,1143.0508,218.0,797.0,0.0,34.676506,5.5025,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,10:00:00,4,841.0,918.30505,124.0,717.0,0.0,39.53466,3.8925,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,11:00:00,4,703.34,755.1072,77.0,618.0,0.0,42.2858,3.2225,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,12:00:00,4,620.0,688.6751,88.0,532.0,0.0,40.43091,2.8300002,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,13:00:00,4,645.0,701.1864,89.0,556.0,0.0,42.827488,2.7350001,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,14:00:00,4,700.0,765.5173,80.0,620.0,0.0,42.836456,2.9775002,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,15:00:00,4,789.0,864.40674,122.0,667.0,0.0,41.478653,3.5725,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,16:00:00,4,823.0,896.9491,118.0,705.0,0.0,40.160046,3.82,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,17:00:00,4,894.0,971.5,155.0,739.0,0.0,37.19463,4.4425,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,18:00:00,4,966.0,1089.3104,174.0,792.0,0.0,35.122192,5.2400002,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,19:00:00,4,924.0,1052.069,186.0,738.0,0.0,35.463245,5.46,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,20:00:00,4,833.0,919.322,142.0,691.0,0.0,38.20759,4.0775,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,21:00:00,4,587.0,646.2711,97.0,490.0,0.0,40.62015,2.6825,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,22:00:00,4,463.0,607.9592,67.0,396.0,0.0,42.274124,2.315,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-16,23:00:00,4,490.0,531.35596,65.0,425.0,0.0,39.848633,2.265,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-17,00:00:00,4,327.0,357.4138,37.0,290.0,0.0,41.16266,1.5150001,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-17,01:00:00,4,208.0,216.5,17.0,191.0,0.0,42.406105,0.8225,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-17,02:00:00,4,158.0,168.6207,10.0,148.0,0.0,46.425064,0.625,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-17,03:00:00,4,119.0,120.5,3.0,116.0,0.0,46.11664,0.455,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-17,04:00:00,4,91.0,98.27586,8.0,83.0,0.0,43.613625,0.3975,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-17,05:00:00,4,96.0,104.0,16.0,80.0,0.0,44.92802,0.425,0.0
VL9SB00,基隆路一段8號前,往北,2016-11-17,06:00:00,4,141.0,151.55173,11.0,130.0,0.0,45.230495,0.57000005,0.0
