台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 00:00:00,2,81.0,84.5,7.0,74.0,0.0,97.335175,0.315,238.455,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 01:00:00,2,40.0,42.0,4.0,36.0,0.0,88.521996,0.235,247.785,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 02:00:00,2,13.0,13.5,1.0,12.0,0.0,81.46154,0.09,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 03:00:00,2,15.0,16.0,2.0,13.0,0.0,81.07,0.11,250.0,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 04:00:00,2,17.0,17.5,1.0,16.0,0.0,75.65,0.11,245.39,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 05:00:00,2,15.0,15.0,0.0,15.0,0.0,86.13,0.11,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 06:00:00,2,28.0,31.0,6.0,22.0,0.0,80.85571,0.225,244.9,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 07:00:00,2,133.0,147.0,28.0,105.0,0.0,88.6776,0.64,233.45,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 08:00:00,2,292.0,312.0,40.0,252.0,0.0,72.90103,1.39,209.735,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 09:00:00,2,274.0,294.40677,31.0,243.0,0.0,75.10317,1.39,202.48499,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 10:00:00,2,311.0,337.5,53.0,258.0,0.0,80.75733,1.315,201.545,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 11:00:00,2,306.0,324.0,36.0,270.0,0.0,73.17611,1.275,200.675,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 12:00:00,2,325.0,357.41382,41.0,284.0,0.0,84.02788,1.205,195.805,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 13:00:00,2,425.0,463.0,76.0,349.0,0.0,64.86671,2.4,189.555,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 14:00:00,2,307.0,320.0,26.0,281.0,0.0,78.89491,1.16,198.08,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 15:00:00,2,550.0,646.98114,43.0,507.0,0.0,52.492764,1.255,194.4,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 16:00:00,2,369.0,390.0,42.0,327.0,0.0,82.490814,1.38,192.015,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 17:00:00,2,320.0,339.0,38.0,282.0,0.0,78.822,1.29,196.495,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 18:00:00,2,426.0,471.30508,76.0,348.0,0.0,71.82094,2.19,188.73001,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 19:00:00,2,565.0,631.5,133.0,432.0,0.0,66.171684,3.535,181.46,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 20:00:00,2,451.0,485.0,68.0,383.0,0.0,65.78304,2.9650002,179.235,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 21:00:00,2,88.0,314.99997,13.0,75.0,0.0,83.739204,0.96,198.07,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 22:00:00,2,102.0,199.68748,9.0,93.0,0.0,71.715195,0.815,213.985,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-11 23:00:00,2,113.0,171.2195,8.0,105.0,0.0,74.77841,0.7,228.1,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 00:00:00,2,34.0,90.0,1.0,33.0,0.0,69.38,0.385,241.015,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 01:00:00,2,22.0,59.999996,0.0,22.0,0.0,71.05,0.31,247.88,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 02:00:00,2,26.0,28.90909,1.0,25.0,0.0,69.424614,0.175,244.95,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 03:00:00,2,23.0,23.5,1.0,22.0,0.0,73.43609,0.14,244.48999,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 04:00:00,2,18.0,18.0,0.0,18.0,0.0,69.33,0.135,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 05:00:00,2,15.0,15.0,0.0,15.0,0.0,64.99733,0.1,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 06:00:00,2,30.0,32.5,5.0,25.0,0.0,61.438,0.235,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 07:00:00,2,139.0,159.0,40.0,99.0,0.0,83.65813,0.77500004,231.0,
