台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-11 15:00:00,2,426.0,485.66034,6.0,420.0,0.0,53.71803,1.7549999,173.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-11 16:00:00,2,495.0,500.5,11.0,484.0,0.0,53.15343,1.96,163.83,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-11 17:00:00,2,458.0,460.0,4.0,454.0,0.0,52.80044,1.76,171.795,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-11 18:00:00,2,532.0,535.5,7.0,525.0,0.0,49.69079,2.645,161.95001,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-11 19:00:00,2,610.0,615.5,11.0,599.0,0.0,48.161522,3.6350002,154.835,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-11 20:00:00,2,509.0,515.5,13.0,496.0,0.0,47.8945,3.3400002,163.36,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-11 21:00:00,2,123.0,411.66663,1.0,122.0,0.0,53.13,1.7,175.42,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-11 22:00:00,2,145.0,272.8125,1.0,144.0,0.0,55.06283,0.95000005,205.675,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-11 23:00:00,2,182.0,267.07318,1.0,181.0,0.0,54.850327,0.98,206.12,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 00:00:00,2,38.0,99.13043,0.0,38.0,0.0,56.36842,0.23,249.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 01:00:00,2,43.0,117.27272,0.0,43.0,0.0,56.791164,0.26,245.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 02:00:00,2,43.0,46.90909,0.0,43.0,0.0,58.322556,0.1,249.545,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 03:00:00,2,32.0,32.5,1.0,31.0,0.0,57.68875,0.065,249.58499,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 04:00:00,2,20.0,20.0,0.0,20.0,0.0,56.501503,0.035,250.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 05:00:00,2,30.0,30.0,0.0,30.0,0.0,55.304,0.024999999,250.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 06:00:00,2,46.0,46.0,0.0,46.0,0.0,55.126522,0.089999996,249.17,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 07:00:00,2,189.0,192.5,7.0,182.0,0.0,54.966244,0.67,230.95999,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 08:00:00,2,386.0,388.0,4.0,382.0,0.0,53.631218,1.44,188.32501,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 09:00:00,2,130.0,355.90906,1.0,129.0,0.0,55.52077,1.28,193.47,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 10:00:00,2,377.0,407.14285,6.0,371.0,0.0,53.96597,1.6099999,180.275,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 11:00:00,2,371.0,422.26413,4.0,367.0,0.0,52.72493,1.595,181.865,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 12:00:00,2,436.0,437.5,3.0,433.0,0.0,52.910095,1.655,173.98,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 13:00:00,2,438.0,442.5,9.0,429.0,0.0,52.464043,1.75,174.775,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 14:00:00,2,460.0,464.0,8.0,452.0,0.0,54.32576,1.71,161.065,
VTXQL00,堤頂大道二段489-501號中間空地前,往北,2016-10-12 15:00:00,2,452.0,453.5,3.0,449.0,0.0,52.74385,1.725,150.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 00:00:00,2,112.0,112.5,1.0,111.0,0.0,51.47,0.4,239.5,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 01:00:00,2,74.0,74.0,0.0,74.0,0.0,49.99,0.24000001,247.08499,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 02:00:00,2,42.0,42.5,1.0,41.0,0.0,54.07381,0.09,250.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 03:00:00,2,36.0,36.5,1.0,35.0,0.0,50.335,0.125,248.75,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 04:00:00,2,24.0,24.0,0.0,24.0,0.0,51.291668,0.05,250.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 05:00:00,2,34.0,34.5,1.0,33.0,0.0,50.204998,0.15,249.58499,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 06:00:00,2,66.0,66.5,1.0,65.0,0.0,52.86727,0.2,248.33499,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 07:00:00,2,212.0,212.0,0.0,212.0,0.0,52.34821,0.78499997,225.01001,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 08:00:00,2,604.0,606.0,4.0,600.0,0.0,51.34801,2.485,145.685,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 09:00:00,2,666.0,668.0,4.0,662.0,0.0,53.55911,2.49,133.68,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 10:00:00,2,587.0,589.0,4.0,583.0,0.0,53.295177,2.26,151.66501,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 11:00:00,2,405.0,406.0,2.0,403.0,0.0,52.25022,1.585,183.93,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 12:00:00,2,415.0,418.5,7.0,408.0,0.0,53.588314,1.62,183.725,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 13:00:00,2,389.0,395.0,12.0,377.0,0.0,53.00907,1.5649999,187.13,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 14:00:00,2,421.0,425.0,8.0,413.0,0.0,52.208553,1.6999999,178.425,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 15:00:00,2,363.0,415.47168,8.0,355.0,0.0,51.13727,1.735,182.745,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 16:00:00,2,478.0,480.0,4.0,474.0,0.0,49.80387,2.025,167.15,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 17:00:00,2,455.0,456.0,2.0,453.0,0.0,50.197803,1.855,170.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 18:00:00,2,389.0,392.5,7.0,382.0,0.0,49.4226,1.7049999,185.04999,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 19:00:00,2,220.0,223.5,7.0,213.0,0.0,50.138184,0.925,221.125,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 20:00:00,2,246.0,248.5,5.0,241.0,0.0,49.695694,1.035,216.13,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 21:00:00,2,76.0,254.99998,1.0,75.0,0.0,50.828686,1.1,213.2,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 22:00:00,2,136.0,256.875,2.0,134.0,0.0,51.198822,0.975,219.79,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-11 23:00:00,2,134.0,197.56097,2.0,132.0,0.0,52.802017,0.82,220.61499,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 00:00:00,2,22.0,57.391308,0.0,22.0,0.0,48.682728,0.215,249.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 01:00:00,2,34.0,92.727264,0.0,34.0,0.0,50.763237,0.25,249.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 02:00:00,2,33.0,36.0,0.0,33.0,0.0,54.002728,0.08499999,250.0,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 03:00:00,2,42.0,42.5,1.0,41.0,0.0,51.644287,0.125,249.16501,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 04:00:00,2,25.0,25.5,1.0,24.0,0.0,51.1176,0.07,249.16501,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 05:00:00,2,40.0,41.0,2.0,38.0,0.0,51.923748,0.135,249.58499,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 06:00:00,2,54.0,54.0,0.0,54.0,0.0,52.38889,0.14,247.5,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 07:00:00,2,194.0,198.0,8.0,186.0,0.0,52.355106,0.75,230.08499,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 08:00:00,2,514.0,515.5,3.0,511.0,0.0,51.115776,2.1,169.175,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 09:00:00,2,231.0,630.0,0.0,231.0,0.0,54.92667,2.18,140.94,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 10:00:00,2,566.0,608.0357,3.0,563.0,0.0,52.616146,2.365,149.76001,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 11:00:00,2,421.0,480.56604,7.0,414.0,0.0,52.54836,1.9,166.445,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 12:00:00,2,454.0,457.0,6.0,448.0,0.0,51.22965,1.875,171.97,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 13:00:00,2,360.0,362.0,4.0,356.0,0.0,51.774555,1.405,191.33499,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 14:00:00,2,451.0,455.5,9.0,442.0,0.0,51.270866,1.89,158.68,
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-10-12 15:00:00,2,477.0,480.5,7.0,470.0,0.0,50.450375,2.075,140.525,
,,,,,,,,,,,,,
頁碼：第 1/1 頁,,,,,,,,,,,,,
