EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL00,成功路二段380號旁,往北,2016-11-14,00:00:00,2,340.0,352.37286,13.0,327.0,0.0,48.614765,2.3899999,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,01:00:00,2,190.0,193.7288,1.0,189.0,0.0,51.051003,1.195,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,02:00:00,2,128.0,133.22034,6.0,122.0,0.0,56.44203,0.77,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,03:00:00,2,84.0,87.45763,4.0,80.0,0.0,54.06,0.555,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,04:00:00,2,60.0,61.01695,0.0,60.0,0.0,59.168663,0.365,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,05:00:00,2,71.0,74.74576,5.0,66.0,0.0,53.552956,0.46,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,06:00:00,2,191.0,200.33897,12.0,179.0,0.0,47.970367,1.375,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,07:00:00,2,509.0,544.06775,52.0,457.0,0.0,49.561573,3.595,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,08:00:00,2,1135.0,1228.4746,146.0,989.0,0.0,41.580368,9.72,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,09:00:00,2,1095.0,1184.7457,140.0,955.0,0.0,37.863335,10.530001,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,10:00:00,2,1039.0,1120.1694,125.0,914.0,0.0,43.374073,8.565001,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,11:00:00,2,942.0,1000.16943,83.0,859.0,0.0,43.01975,7.44,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,12:00:00,2,988.0,1063.2203,115.0,873.0,0.0,40.757687,8.59,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,13:00:00,2,910.0,970.6779,89.0,821.0,0.0,43.04088,7.255,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,14:00:00,2,876.0,939.1526,95.0,781.0,0.0,39.869328,7.625,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,15:00:00,2,921.0,1002.4138,96.0,825.0,0.0,40.490192,8.165,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,16:00:00,2,985.0,1068.305,131.0,854.0,0.0,38.684994,8.97,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,17:00:00,2,1008.0,1094.7457,137.0,871.0,0.0,37.219593,9.295,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,18:00:00,2,998.0,1093.7288,155.0,843.0,0.0,31.171324,11.715,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,19:00:00,2,880.0,950.6897,78.0,802.0,0.0,40.98925,7.58,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,20:00:00,2,673.0,711.8644,54.0,619.0,0.0,40.39171,5.76,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,21:00:00,2,730.0,770.339,55.0,675.0,0.0,43.749393,5.725,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,22:00:00,2,713.0,748.98303,47.0,666.0,0.0,46.337826,5.1800003,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-14,23:00:00,2,537.0,562.37286,32.0,505.0,0.0,48.313965,3.745,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,00:00:00,2,313.0,327.45764,18.0,295.0,0.0,49.780956,2.18,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,01:00:00,2,184.0,192.71185,11.0,173.0,0.0,49.773586,1.24,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,02:00:00,2,147.0,152.0339,5.0,142.0,0.0,55.441833,0.82500005,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,03:00:00,2,104.0,107.79661,4.0,100.0,0.0,53.934135,0.65999997,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,04:00:00,2,79.0,82.881355,5.0,74.0,0.0,52.26405,0.555,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,05:00:00,2,97.0,99.15254,1.0,96.0,0.0,58.01928,0.56,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,06:00:00,2,188.0,198.30508,14.0,174.0,0.0,51.84734,1.285,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,07:00:00,2,478.0,505.9322,39.0,439.0,0.0,49.724518,3.3600001,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,08:00:00,2,1192.0,1305.7627,184.0,1008.0,0.0,37.400288,11.915,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,09:00:00,2,1166.0,1269.661,165.0,1001.0,0.0,36.86245,11.82,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,10:00:00,2,1043.0,1129.8306,136.0,907.0,0.0,41.488907,8.889999,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,11:00:00,2,1015.0,1088.644,111.0,904.0,0.0,42.073997,8.43,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,12:00:00,2,1008.0,1086.6101,121.0,887.0,0.0,40.201073,8.8949995,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,13:00:00,2,927.0,987.96606,89.0,838.0,0.0,42.921944,7.385,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,14:00:00,2,951.0,1026.1017,116.0,835.0,0.0,41.353058,8.1,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,15:00:00,2,884.0,954.40674,109.0,775.0,0.0,38.487034,8.12,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,16:00:00,2,942.0,1025.0847,132.0,810.0,0.0,38.5888,8.71,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,17:00:00,2,960.0,1045.4237,136.0,824.0,0.0,35.010277,9.715,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,18:00:00,2,1027.0,1140.5084,189.0,838.0,0.0,27.324888,13.690001,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,19:00:00,2,903.0,998.7931,125.0,778.0,0.0,36.220066,9.110001,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,20:00:00,2,736.0,778.98303,60.0,676.0,0.0,42.422092,5.825,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,21:00:00,2,713.0,750.0,49.0,664.0,0.0,44.50296,5.4399996,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,22:00:00,2,740.0,777.45764,49.0,691.0,0.0,46.179348,5.375,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-15,23:00:00,2,510.0,529.8305,22.0,488.0,0.0,48.978977,3.38,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-16,00:00:00,2,333.0,349.32202,21.0,312.0,0.0,49.239372,2.315,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-16,01:00:00,2,180.0,187.6271,9.0,171.0,0.0,50.285114,1.21,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-16,02:00:00,2,114.0,116.94915,2.0,112.0,0.0,54.57737,0.71500003,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-16,03:00:00,2,93.0,98.13559,7.0,86.0,0.0,60.48333,0.58500004,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-16,04:00:00,2,91.0,93.55932,2.0,89.0,0.0,54.79385,0.57500005,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-16,05:00:00,2,89.0,91.016945,1.0,88.0,0.0,55.8064,0.53999996,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-16,06:00:00,2,167.0,175.93219,12.0,155.0,0.0,52.89599,1.0550001,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-16,07:00:00,2,487.0,515.5932,40.0,447.0,0.0,50.73074,3.3,0.0
VQKWL00,成功路二段380號旁,往北,2016-11-16,08:00:00,2,1181.0,1295.0847,185.0,996.0,0.0,37.453957,11.8,0.0
