EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,00:00:00,2,228.0,248.5,41.0,187.0,0.0,46.10241,1.075,118.785
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,01:00:00,2,158.0,169.0,22.0,136.0,0.0,44.993797,0.84000003,105.485
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,02:00:00,2,81.0,88.0,14.0,67.0,0.0,45.554447,0.24,92.94
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,03:00:00,2,46.0,50.0,8.0,38.0,0.0,45.78152,0.11,66.425
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,04:00:00,2,31.0,33.5,5.0,26.0,0.0,42.967094,0.074999996,48.285
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,05:00:00,2,48.0,50.0,4.0,44.0,0.0,44.250626,0.165,64.625
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,06:00:00,2,60.0,63.5,7.0,53.0,0.0,45.020164,0.21000001,62.985
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,07:00:00,2,129.0,134.5,11.0,118.0,0.0,45.25814,0.565,109.564995
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,08:00:00,2,559.0,611.0,104.0,455.0,0.0,41.670464,4.795,109.445
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-11-14,09:00:00,2,639.0,677.0,76.0,563.0,0.0,42.34516,5.9849997,105.835
