台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 00:00:00,1,61.0,63.55932,3.0,58.0,0.0,36.89,1.05,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 01:00:00,1,29.0,29.491524,0.0,29.0,0.0,40.55,0.49,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 02:00:00,1,27.0,28.98305,3.0,24.0,0.0,48.55,0.43,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 03:00:00,1,8.0,8.135593,0.0,8.0,0.0,41.88,0.14,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 04:00:00,1,6.0,6.6101694,1.0,5.0,0.0,38.33,0.1,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 05:00:00,1,12.0,12.711864,1.0,11.0,0.0,39.75,0.22,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 06:00:00,1,19.0,19.322033,0.0,19.0,0.0,42.69,0.33,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 07:00:00,1,43.0,43.728813,0.0,43.0,0.0,35.09,0.72,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 08:00:00,1,241.0,276.2069,52.0,189.0,0.0,31.65,5.98,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 09:00:00,1,556.0,634.0678,135.0,421.0,0.0,26.68,17.14,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 10:00:00,1,430.0,481.52542,87.0,343.0,0.0,28.2,11.51,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 11:00:00,1,213.0,222.93105,5.0,208.0,0.0,33.43,4.05,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 12:00:00,1,232.0,272.83017,18.0,214.0,0.0,33.15,5.33,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 13:00:00,1,161.0,180.50847,33.0,128.0,0.0,25.939999,4.54,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 14:00:00,1,202.0,210.0,9.0,193.0,0.0,32.13,4.02,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 15:00:00,1,205.0,214.0678,11.0,194.0,0.0,35.33,3.82,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 16:00:00,1,196.0,202.88135,7.0,189.0,0.0,34.08,3.69,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 17:00:00,1,184.0,203.38983,32.0,152.0,0.0,24.97,5.29,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 18:00:00,1,208.0,218.13559,13.0,195.0,0.0,32.59,4.2,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 19:00:00,1,226.0,232.37288,5.0,221.0,0.0,32.41,4.45,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 20:00:00,1,126.0,130.1695,4.0,122.0,0.0,37.09,2.17,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 21:00:00,1,101.0,103.72881,2.0,99.0,0.0,34.97,1.83,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 22:00:00,1,111.0,113.389824,1.0,110.0,0.0,36.29,1.98,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-01 23:00:00,1,93.0,96.10169,3.0,90.0,0.0,31.89,1.9,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 00:00:00,1,42.0,43.728813,2.0,40.0,0.0,35.36,0.76,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 01:00:00,1,28.0,28.474575,0.0,28.0,0.0,34.57,0.49,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 02:00:00,1,23.0,23.38983,0.0,23.0,0.0,39.61,0.39,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 03:00:00,1,18.0,18.305084,0.0,18.0,0.0,42.33,0.3,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 04:00:00,1,13.0,13.728813,1.0,12.0,0.0,34.69,0.24,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 05:00:00,1,17.0,17.288136,0.0,17.0,0.0,32.0,0.29,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 06:00:00,1,14.0,14.745762,1.0,13.0,0.0,37.79,0.25,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 07:00:00,1,25.0,25.423729,0.0,25.0,0.0,34.92,0.42,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 08:00:00,1,65.0,68.793106,3.0,62.0,0.0,38.72,1.14,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 09:00:00,1,72.0,73.72881,1.0,71.0,0.0,43.86,1.18,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 10:00:00,1,79.0,83.38983,6.0,73.0,0.0,35.7,1.43,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 11:00:00,1,85.0,86.440674,0.0,85.0,0.0,39.98,1.42,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 12:00:00,1,105.0,111.57895,2.0,103.0,0.0,35.55,1.89,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 13:00:00,1,115.0,118.47457,3.0,112.0,0.0,37.84,1.98,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 14:00:00,1,119.0,123.05084,4.0,115.0,0.0,37.91,2.11,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 15:00:00,1,123.0,128.13559,6.0,117.0,0.0,38.93,2.13,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 16:00:00,1,98.0,100.67796,2.0,96.0,0.0,35.25,1.7,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 17:00:00,1,108.0,111.35593,3.0,105.0,0.0,37.0,1.88,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 18:00:00,1,100.0,102.71186,2.0,98.0,0.0,39.7,1.67,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 19:00:00,1,110.0,113.8983,4.0,106.0,0.0,35.84,1.94,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 20:00:00,1,60.0,62.033897,2.0,58.0,0.0,36.62,1.04,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 21:00:00,1,61.0,62.033897,0.0,61.0,0.0,38.15,1.04,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 22:00:00,1,74.0,75.76271,1.0,73.0,0.0,35.99,1.27,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-02 23:00:00,1,71.0,72.203384,0.0,71.0,0.0,37.41,1.22,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 00:00:00,1,37.0,39.0,4.0,33.0,0.0,31.589998,0.75,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 01:00:00,1,19.0,19.830507,1.0,18.0,0.0,39.58,0.33,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 02:00:00,1,17.0,17.79661,1.0,16.0,0.0,30.240002,0.3,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 03:00:00,1,16.0,16.271187,0.0,16.0,0.0,35.63,0.27,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 04:00:00,1,15.0,15.762712,1.0,14.0,0.0,38.13,0.25,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 05:00:00,1,7.0,7.1186438,0.0,7.0,0.0,34.43,0.12,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 06:00:00,1,10.0,10.677966,1.0,9.0,0.0,33.9,0.22,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 07:00:00,1,26.0,26.440678,0.0,26.0,0.0,35.65,0.44,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 08:00:00,1,42.0,43.448277,0.0,42.0,0.0,34.24,0.72,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 09:00:00,1,54.0,55.9322,2.0,52.0,0.0,35.22,0.93,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 10:00:00,1,50.0,51.35593,1.0,49.0,0.0,35.36,0.87,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 11:00:00,1,79.0,82.881355,5.0,74.0,0.0,37.15,1.38,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 12:00:00,1,84.0,89.47369,2.0,82.0,0.0,41.48,1.45,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 13:00:00,1,67.0,70.16949,4.0,63.0,0.0,39.43,1.13,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 14:00:00,1,70.0,71.18644,0.0,70.0,0.0,35.12,1.19,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 15:00:00,1,106.0,108.81355,2.0,104.0,0.0,33.53,1.99,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 16:00:00,1,83.0,87.45763,6.0,77.0,0.0,38.46,1.49,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 17:00:00,1,86.0,88.47457,2.0,84.0,0.0,34.47,1.52,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 18:00:00,1,92.0,95.593216,4.0,88.0,0.0,38.04,1.59,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 19:00:00,1,86.0,88.47457,2.0,84.0,0.0,36.95,1.55,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 20:00:00,1,60.0,61.01695,0.0,60.0,0.0,32.92,1.06,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 21:00:00,1,54.0,54.915253,0.0,54.0,0.0,37.85,0.92,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 22:00:00,1,76.0,77.28813,0.0,76.0,0.0,31.320002,1.47,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-03 23:00:00,1,63.0,64.57627,1.0,62.0,0.0,35.28,1.13,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 00:00:00,1,46.0,49.322033,5.0,41.0,0.0,35.13,0.9,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 01:00:00,1,22.0,22.37288,0.0,22.0,0.0,37.0,0.38,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 02:00:00,1,17.0,17.79661,1.0,16.0,0.0,38.94,0.31,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 03:00:00,1,5.0,5.0847454,0.0,5.0,0.0,39.8,0.09,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 04:00:00,1,10.0,10.169491,0.0,10.0,0.0,33.8,0.17,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 05:00:00,1,16.0,16.271187,0.0,16.0,0.0,36.75,0.27,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 06:00:00,1,9.0,9.152542,0.0,9.0,0.0,39.44,0.15,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 07:00:00,1,19.0,19.322033,0.0,19.0,0.0,40.79,0.32,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 08:00:00,1,30.0,32.068966,2.0,28.0,0.0,41.73,0.59,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 09:00:00,1,39.0,39.661015,0.0,39.0,0.0,42.74,0.69,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 10:00:00,1,55.0,57.9661,4.0,51.0,0.0,39.070004,0.94,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 11:00:00,1,72.0,73.72881,1.0,71.0,0.0,33.83,1.3,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 12:00:00,1,61.0,65.26316,2.0,59.0,0.0,35.15,1.15,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 13:00:00,1,63.0,65.08475,2.0,61.0,0.0,37.41,1.14,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 14:00:00,1,116.0,120.0,4.0,112.0,0.0,35.91,2.03,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 15:00:00,1,98.0,100.16949,1.0,97.0,0.0,37.52,1.68,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 16:00:00,1,99.0,102.71186,4.0,95.0,0.0,37.57,1.72,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 17:00:00,1,95.0,96.61017,0.0,95.0,0.0,31.68,1.82,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 18:00:00,1,101.0,104.23728,3.0,98.0,0.0,35.95,1.73,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 19:00:00,1,93.0,95.593216,2.0,91.0,0.0,35.31,1.64,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 20:00:00,1,72.0,73.22034,0.0,72.0,0.0,36.95,1.32,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 21:00:00,1,80.0,81.8644,1.0,79.0,0.0,37.11,1.33,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 22:00:00,1,75.0,76.779655,1.0,74.0,0.0,35.88,1.3,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-04 23:00:00,1,53.0,55.42373,3.0,50.0,0.0,38.68,0.93,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 00:00:00,1,46.0,47.0,2.0,44.0,0.0,35.24,0.83,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 01:00:00,1,32.0,33.559322,2.0,30.0,0.0,36.19,0.59,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 02:00:00,1,9.0,9.152542,0.0,9.0,0.0,31.0,0.16,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 03:00:00,1,20.0,20.847458,1.0,19.0,0.0,41.1,0.34,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 04:00:00,1,4.0,4.0677967,0.0,4.0,0.0,45.0,0.07,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 05:00:00,1,7.0,7.1186438,0.0,7.0,0.0,41.0,0.12,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 06:00:00,1,16.0,16.271187,0.0,16.0,0.0,46.19,0.27,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 07:00:00,1,24.0,24.406778,0.0,24.0,0.0,43.63,0.4,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 08:00:00,1,31.0,32.068966,0.0,31.0,0.0,38.26,0.52,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 09:00:00,1,58.0,60.0,2.0,56.0,0.0,34.26,0.99,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 10:00:00,1,74.0,75.254234,0.0,74.0,0.0,38.54,1.26,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 11:00:00,1,77.0,79.32203,2.0,75.0,0.0,40.3,1.3,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 12:00:00,1,85.0,90.52631,2.0,83.0,0.0,31.21,1.63,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 13:00:00,1,94.0,96.61017,2.0,92.0,0.0,36.32,1.7,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 14:00:00,1,98.0,102.203384,5.0,93.0,0.0,34.72,1.79,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 15:00:00,1,95.0,97.62711,2.0,93.0,0.0,37.33,1.64,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 16:00:00,1,105.0,107.79661,2.0,103.0,0.0,38.22,1.82,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 17:00:00,1,104.0,108.305084,5.0,99.0,0.0,35.62,1.84,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 18:00:00,1,89.0,91.016945,1.0,88.0,0.0,38.73,1.53,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 19:00:00,1,109.0,111.35593,1.0,108.0,0.0,38.23,1.84,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 20:00:00,1,83.0,84.91525,1.0,82.0,0.0,33.76,1.6,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 21:00:00,1,74.0,75.76271,1.0,73.0,0.0,36.44,1.28,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 22:00:00,1,74.0,76.27119,2.0,72.0,0.0,38.27,1.28,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-05 23:00:00,1,59.0,61.01695,2.0,57.0,0.0,36.12,1.03,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 00:00:00,1,38.0,40.677963,4.0,34.0,0.0,33.92,0.73,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 01:00:00,1,20.0,21.355932,2.0,18.0,0.0,37.9,0.37,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 02:00:00,1,17.0,17.288136,0.0,17.0,0.0,46.35,0.28,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 03:00:00,1,8.0,8.644068,1.0,7.0,0.0,39.63,0.14,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 04:00:00,1,8.0,8.135593,0.0,8.0,0.0,35.75,0.13,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 05:00:00,1,8.0,8.135593,0.0,8.0,0.0,36.63,0.14,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 06:00:00,1,14.0,14.745762,1.0,13.0,0.0,38.72,0.25,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 07:00:00,1,1.0,6.666666,0.0,1.0,0.0,33.0,0.13,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 10:00:00,1,491.0,541.0,100.0,391.0,0.0,26.24,13.38,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 11:00:00,1,232.0,244.0678,16.0,216.0,0.0,35.22,4.38,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 12:00:00,1,158.0,168.10345,9.0,149.0,0.0,39.76,2.68,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 13:00:00,1,161.0,180.50847,33.0,128.0,0.0,27.379997,4.53,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 14:00:00,1,160.0,166.0,12.0,148.0,0.0,30.61,3.33,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 15:00:00,1,193.0,202.88135,13.0,180.0,0.0,38.25,3.44,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 16:00:00,1,167.0,169.5,5.0,162.0,0.0,35.17,3.0,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 17:00:00,1,179.0,200.33897,36.0,143.0,0.0,24.95,5.45,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 18:00:00,1,216.0,220.5,9.0,207.0,0.0,31.93,4.37,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 19:00:00,1,187.0,192.71185,5.0,182.0,0.0,34.58,3.4,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 20:00:00,1,123.0,125.0,4.0,119.0,0.0,35.6,2.13,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 21:00:00,1,94.0,95.593216,0.0,94.0,0.0,37.3,1.6,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 22:00:00,1,94.0,95.5,3.0,91.0,0.0,35.63,1.62,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-06 23:00:00,1,65.0,66.10169,0.0,65.0,0.0,40.65,1.09,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 00:00:00,1,32.0,34.57627,4.0,28.0,0.0,37.78,0.63,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 01:00:00,1,26.0,28.421053,2.0,24.0,0.0,38.54,0.45,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 02:00:00,1,15.0,15.762712,1.0,14.0,0.0,35.0,0.27,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 03:00:00,1,4.0,4.0677967,0.0,4.0,0.0,34.0,0.07,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 04:00:00,1,7.0,7.6271186,1.0,6.0,0.0,38.0,0.12,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 05:00:00,1,7.0,7.1186438,0.0,7.0,0.0,39.139996,0.12,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 06:00:00,1,21.0,21.355932,0.0,21.0,0.0,42.1,0.35,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 07:00:00,1,55.0,56.440678,1.0,54.0,0.0,40.89,0.94,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 08:00:00,1,281.0,325.34485,67.0,214.0,0.0,33.67,6.58,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 09:00:00,1,583.0,662.0339,136.0,447.0,0.0,29.419998,15.85,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 10:00:00,1,447.0,496.0,98.0,349.0,0.0,28.51,11.9,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 11:00:00,1,210.0,222.20338,17.0,193.0,0.0,36.25,3.99,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 12:00:00,1,178.0,185.68967,3.0,175.0,0.0,39.58,3.01,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 13:00:00,1,161.0,184.13794,34.0,127.0,0.0,28.629997,4.3,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 14:00:00,1,210.0,218.64406,10.0,200.0,0.0,33.68,4.09,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 15:00:00,1,199.0,206.94914,9.0,190.0,0.0,32.78,3.98,0.0,
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-04-07 16:00:00,1,146.0,193.04349,4.0,142.0,0.0,32.89,3.57,0.0,
