EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,00:00:00,1,16.0,16.0,0.0,16.0,0.0,70.0,0.23,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,01:00:00,1,8.0,8.0,0.0,8.0,0.0,70.0,0.12,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,02:00:00,1,6.0,6.0,0.0,6.0,0.0,70.0,0.1,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,03:00:00,1,7.0,8.5,3.0,4.0,0.0,70.0,0.12,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,04:00:00,1,4.0,5.0,2.0,2.0,0.0,70.0,0.08,249.12
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,05:00:00,1,6.0,6.0,0.0,6.0,0.0,70.0,0.1,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,06:00:00,1,8.0,8.0,0.0,8.0,0.0,70.0,0.12,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,07:00:00,1,40.0,43.0,6.0,34.0,0.0,67.95,0.48,246.45
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,08:00:00,1,144.0,146.5,5.0,139.0,0.0,60.689995,1.08,206.6
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,09:00:00,1,145.0,145.5,1.0,144.0,0.0,70.0,0.88,206.65
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,10:00:00,1,141.0,144.5,7.0,134.0,0.0,67.91,0.98,209.53
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,11:00:00,1,140.0,142.5,5.0,135.0,0.0,66.68,1.02,208.37
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,12:00:00,1,169.0,176.37932,3.0,166.0,0.0,59.550003,1.28,194.91
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,13:00:00,1,141.0,144.5,7.0,134.0,0.0,68.51,0.98,210.98
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,14:00:00,1,153.0,155.5,5.0,148.0,0.0,69.95,1.03,209.9
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,15:00:00,1,165.0,169.5,9.0,156.0,0.0,65.33,1.27,199.03
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,16:00:00,1,164.0,165.5,3.0,161.0,0.0,68.26,1.08,195.42
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,17:00:00,1,166.0,168.5,5.0,161.0,0.0,70.0,1.15,199.17
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,18:00:00,1,109.0,264.00003,2.0,107.0,0.0,70.0,1.56,158.44
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,20:00:00,1,118.0,242.0,6.0,112.0,0.0,63.81,1.87,176.97
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,21:00:00,1,155.0,159.66101,4.0,151.0,0.0,70.0,1.12,199.21
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,22:00:00,1,122.0,122.0,0.0,122.0,0.0,70.0,0.83,217.67
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-01,23:00:00,1,95.0,95.5,1.0,94.0,0.0,70.0,0.7,228.33
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,00:00:00,1,45.0,45.5,1.0,44.0,0.0,70.0,0.53,248.28
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,01:00:00,1,14.0,14.0,0.0,14.0,0.0,70.0,0.2,244.95
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,02:00:00,1,5.0,5.0,0.0,5.0,0.0,70.0,0.07,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,03:00:00,1,8.0,8.5,1.0,7.0,0.0,70.0,0.13,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,04:00:00,1,12.0,12.0,0.0,12.0,0.0,69.5,0.15,244.95
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,05:00:00,1,6.0,6.0,0.0,6.0,0.0,67.83,0.1,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,06:00:00,1,13.0,13.0,0.0,13.0,0.0,67.0,0.23,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,07:00:00,1,18.0,18.0,0.0,18.0,0.0,67.22,0.22,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,08:00:00,1,42.0,42.5,1.0,41.0,0.0,69.69,0.5,241.82
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,09:00:00,1,61.0,62.0,2.0,59.0,0.0,70.0,0.57,242.15
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,10:00:00,1,98.0,99.0,2.0,96.0,0.0,69.61,0.8,224.5
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,11:00:00,1,86.0,90.0,8.0,78.0,0.0,69.29,0.73,232.35
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,12:00:00,1,104.0,108.81355,6.0,98.0,0.0,63.13,0.85,215.35
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,13:00:00,1,99.0,104.0,10.0,89.0,0.0,66.65,0.85,220.25
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,14:00:00,1,85.0,87.0,4.0,81.0,0.0,64.89,0.75,231.6
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,15:00:00,1,136.0,140.0,8.0,128.0,0.0,65.43,0.98,204.8
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,16:00:00,1,127.0,134.0,14.0,113.0,0.0,56.52,1.13,214.2
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,17:00:00,1,133.0,135.5,5.0,128.0,0.0,60.62,1.02,210.3
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,18:00:00,1,108.0,109.5,3.0,105.0,0.0,69.52,0.77,222.9
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,19:00:00,1,114.0,115.5,3.0,111.0,0.0,70.0,0.82,221.63
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,20:00:00,1,60.0,61.0,2.0,58.0,0.0,69.63,0.67,243.43
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,21:00:00,1,77.0,77.5,1.0,76.0,0.0,69.43,0.63,234.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,22:00:00,1,60.0,60.0,0.0,60.0,0.0,70.0,0.6,242.03
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-02,23:00:00,1,38.0,38.0,0.0,38.0,0.0,70.0,0.43,242.35
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,00:00:00,1,15.0,15.0,0.0,15.0,0.0,70.0,0.25,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,01:00:00,1,7.0,7.5,1.0,6.0,0.0,10.0,0.12,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,02:00:00,1,3.0,3.0,0.0,3.0,0.0,46.67,0.05,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,03:00:00,1,6.0,6.5,1.0,5.0,0.0,23.17,0.1,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,04:00:00,1,3.0,3.0,0.0,3.0,0.0,46.0,0.05,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,05:00:00,1,3.0,3.0,0.0,3.0,0.0,23.0,0.05,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,06:00:00,1,9.0,9.0,0.0,9.0,0.0,30.439999,0.12,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,07:00:00,1,11.0,11.5,1.0,10.0,0.0,11.819999,0.17,241.67
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,08:00:00,1,17.0,17.5,1.0,16.0,0.0,49.65,0.28,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,09:00:00,1,39.0,39.0,0.0,39.0,0.0,27.44,0.45,249.1
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,10:00:00,1,46.0,47.0,2.0,44.0,0.0,41.69,0.57,243.13
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,11:00:00,1,72.0,74.0,4.0,68.0,0.0,43.42,0.7,232.23
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,12:00:00,1,325.0,334.06778,7.0,318.0,0.0,7.58,0.83,235.51
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,13:00:00,1,72.0,73.5,3.0,69.0,0.0,31.859999,0.7,237.18
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,14:00:00,1,88.0,88.5,1.0,87.0,0.0,53.320004,0.73,229.57
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,15:00:00,1,126.0,126.5,1.0,125.0,0.0,46.11,0.73,207.35
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,16:00:00,1,100.0,101.5,3.0,97.0,0.0,46.2,0.7,220.9
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,17:00:00,1,101.0,103.0,4.0,97.0,0.0,43.98,0.83,223.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,18:00:00,1,95.0,96.5,3.0,92.0,0.0,49.25,0.62,219.82
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,19:00:00,1,94.0,95.0,2.0,92.0,0.0,37.1,0.63,224.1
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,20:00:00,1,70.0,72.0,4.0,66.0,0.0,54.0,0.62,233.57
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,21:00:00,1,75.0,75.0,0.0,75.0,0.0,37.33,0.67,235.72
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,22:00:00,1,53.0,53.0,0.0,53.0,0.0,47.55,0.5,238.87
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-03,23:00:00,1,37.0,37.0,0.0,37.0,0.0,26.49,0.38,240.58
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,00:00:00,1,21.0,21.0,0.0,21.0,0.0,40.0,0.25,244.93
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,01:00:00,1,7.0,7.0,0.0,7.0,0.0,70.0,0.1,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,02:00:00,1,3.0,3.0,0.0,3.0,0.0,70.0,0.05,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,03:00:00,1,3.0,3.5,1.0,2.0,0.0,70.0,0.05,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,04:00:00,1,10.0,10.5,1.0,9.0,0.0,70.0,0.12,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,05:00:00,1,5.0,5.0,0.0,5.0,0.0,70.0,0.08,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,06:00:00,1,8.0,8.0,0.0,8.0,0.0,69.13,0.13,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,07:00:00,1,15.0,15.0,0.0,15.0,0.0,64.4,0.22,245.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,08:00:00,1,23.0,23.5,1.0,22.0,0.0,69.78,0.27,244.95
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,09:00:00,1,35.0,35.0,0.0,35.0,0.0,70.0,0.38,248.25
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,10:00:00,1,37.0,37.0,0.0,37.0,0.0,66.22,0.42,242.75
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,11:00:00,1,57.0,59.0,4.0,53.0,0.0,70.0,0.65,245.68
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,12:00:00,1,73.0,77.28813,6.0,67.0,0.0,68.64,0.7,235.73
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,13:00:00,1,68.0,68.5,1.0,67.0,0.0,60.04,0.65,240.4
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,14:00:00,1,82.0,82.5,1.0,81.0,0.0,63.27,0.67,233.32
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,15:00:00,1,98.0,98.5,1.0,97.0,0.0,67.72,0.78,225.05
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,16:00:00,1,93.0,96.0,6.0,87.0,0.0,68.73,0.75,231.95
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,17:00:00,1,117.0,118.5,3.0,114.0,0.0,69.68,0.87,216.28
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,18:00:00,1,84.0,85.5,3.0,81.0,0.0,67.62,0.65,225.27
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,19:00:00,1,85.0,86.0,2.0,83.0,0.0,70.0,0.68,229.5
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,20:00:00,1,58.0,58.0,0.0,58.0,0.0,70.0,0.42,237.95
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,21:00:00,1,54.0,54.0,0.0,54.0,0.0,70.0,0.5,241.72
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,22:00:00,1,42.0,43.0,2.0,40.0,0.0,70.0,0.45,242.2
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-04,23:00:00,1,24.0,24.0,0.0,24.0,0.0,70.0,0.28,248.27
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,00:00:00,1,13.0,13.0,0.0,13.0,0.0,70.0,0.2,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,01:00:00,1,13.0,13.0,0.0,13.0,0.0,70.0,0.2,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,02:00:00,1,3.0,3.0,0.0,3.0,0.0,70.0,0.05,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,03:00:00,1,5.0,5.5,1.0,4.0,0.0,70.0,0.07,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,04:00:00,1,6.0,6.0,0.0,6.0,0.0,70.0,0.1,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,05:00:00,1,2.0,2.0,0.0,2.0,0.0,70.0,0.03,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,06:00:00,1,6.0,6.5,1.0,5.0,0.0,70.0,0.1,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,07:00:00,1,22.0,22.5,1.0,21.0,0.0,70.0,0.37,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,08:00:00,1,27.0,27.0,0.0,27.0,0.0,70.0,0.33,248.23
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,09:00:00,1,35.0,35.0,0.0,35.0,0.0,70.0,0.37,249.12
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,10:00:00,1,59.0,60.0,2.0,57.0,0.0,69.88,0.57,240.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,11:00:00,1,79.0,81.0,4.0,75.0,0.0,61.29,0.75,234.25
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,12:00:00,1,84.0,85.42373,0.0,84.0,0.0,64.87,0.74,233.09
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,13:00:00,1,99.0,101.5,5.0,94.0,0.0,69.55,0.78,226.87
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,14:00:00,1,124.0,127.5,7.0,117.0,0.0,65.52,1.02,216.7
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,15:00:00,1,119.0,121.5,5.0,114.0,0.0,59.23,0.9,217.92
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,16:00:00,1,108.0,109.5,3.0,105.0,0.0,65.46,0.88,224.1
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,17:00:00,1,92.0,94.0,4.0,88.0,0.0,69.83,0.78,229.98
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,18:00:00,1,91.0,92.0,2.0,89.0,0.0,70.0,0.72,227.68
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,19:00:00,1,84.0,85.0,2.0,82.0,0.0,70.0,0.68,233.08
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,20:00:00,1,68.0,69.0,2.0,66.0,0.0,70.0,0.52,234.37
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,21:00:00,1,64.0,64.5,1.0,63.0,0.0,70.0,0.53,236.58
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,22:00:00,1,64.0,64.0,0.0,64.0,0.0,69.02,0.6,240.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-05,23:00:00,1,34.0,34.0,0.0,34.0,0.0,68.76,0.33,245.65
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,00:00:00,1,9.0,9.0,0.0,9.0,0.0,70.0,0.15,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,01:00:00,1,9.0,9.0,0.0,9.0,0.0,70.0,0.12,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,02:00:00,1,2.0,2.0,0.0,2.0,0.0,70.0,0.03,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,03:00:00,1,6.0,7.0,2.0,4.0,0.0,70.0,0.08,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,04:00:00,1,7.0,7.0,0.0,7.0,0.0,68.14,0.08,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,05:00:00,1,6.0,6.0,0.0,6.0,0.0,67.0,0.1,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,06:00:00,1,14.0,15.0,2.0,12.0,0.0,64.0,0.18,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,07:00:00,1,2.0,14.999999,1.0,1.0,0.0,60.5,0.2,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,09:00:00,1,13.0,101.24999,1.0,12.0,0.0,70.0,0.8,222.54
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,10:00:00,1,129.0,131.0,4.0,125.0,0.0,69.26,0.93,216.02
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,11:00:00,1,127.0,133.0,12.0,115.0,0.0,56.5,1.18,213.48
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,12:00:00,1,128.0,133.22034,6.0,122.0,0.0,52.76,1.09,212.24
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,13:00:00,1,120.0,123.5,7.0,113.0,0.0,55.44,1.03,219.5
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,14:00:00,1,128.0,130.0,4.0,124.0,0.0,58.2,0.93,216.4
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,15:00:00,1,140.0,144.0,8.0,132.0,0.0,68.17,1.07,206.33
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,16:00:00,1,151.0,155.0,8.0,143.0,0.0,66.84,1.03,202.28
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,17:00:00,1,138.0,139.0,2.0,136.0,0.0,69.14,0.95,209.93
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,18:00:00,1,213.0,215.5,5.0,208.0,0.0,70.0,1.33,181.57
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,19:00:00,1,235.0,241.5,13.0,222.0,0.0,70.0,1.57,163.88
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,20:00:00,1,169.0,171.0,4.0,165.0,0.0,69.23,1.18,191.25
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,21:00:00,1,107.0,109.0,4.0,103.0,0.0,62.91,0.83,223.43
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,22:00:00,1,86.0,86.0,0.0,86.0,0.0,66.99,0.67,229.93
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-06,23:00:00,1,49.0,49.5,1.0,48.0,0.0,70.0,0.55,248.27
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,00:00:00,1,14.0,14.0,0.0,14.0,0.0,70.0,0.2,249.13
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,01:00:00,1,7.0,8.235294,0.0,7.0,0.0,70.0,0.13,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,02:00:00,1,5.0,5.0,0.0,5.0,0.0,70.0,0.08,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,03:00:00,1,6.0,6.5,1.0,5.0,0.0,70.0,0.1,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,04:00:00,1,7.0,7.5,1.0,6.0,0.0,70.0,0.13,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,05:00:00,1,2.0,2.0,0.0,2.0,0.0,70.0,0.03,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,06:00:00,1,8.0,8.5,1.0,7.0,0.0,70.0,0.12,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,07:00:00,1,40.0,40.5,1.0,39.0,0.0,56.77,0.45,246.33
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,08:00:00,1,136.0,136.0,0.0,136.0,0.0,50.92,1.1,205.53
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,09:00:00,1,100.0,101.0,2.0,98.0,0.0,70.0,0.7,226.97
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,10:00:00,1,106.0,109.5,7.0,99.0,0.0,66.57,0.9,228.38
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,11:00:00,1,110.0,114.0,8.0,102.0,0.0,58.96,0.92,223.85
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,12:00:00,1,120.0,121.0,2.0,118.0,0.0,50.06,0.97,217.08
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,13:00:00,1,111.0,114.5,7.0,104.0,0.0,67.89,0.88,224.53
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,14:00:00,1,132.0,135.76271,3.0,129.0,0.0,68.74,0.87,211.7
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,15:00:00,1,158.0,160.5,5.0,153.0,0.0,67.15,1.07,196.02
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,16:00:00,1,116.0,150.0,3.0,113.0,0.0,62.11,1.24,207.42
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,17:00:00,1,164.0,169.0,10.0,154.0,0.0,58.03,1.48,202.33
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-04-07,18:00:00,1,235.0,237.5,5.0,230.0,0.0,67.47,1.35,163.67
