EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VL9SB00,基隆路一段8號前,往北,2016-04-01,00:00:00,4,369.0,394.57623,38.0,331.0,0.0,42.46062,1.5475001,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,01:00:00,4,182.0,195.7627,21.0,161.0,0.0,43.45654,0.7774999,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,02:00:00,4,145.0,154.06778,13.0,132.0,0.0,40.38007,0.625,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,03:00:00,4,112.0,120.50848,13.0,99.0,0.0,46.768837,0.4575,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,04:00:00,4,97.0,103.22034,9.0,88.0,0.0,47.329384,0.3675,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,05:00:00,4,97.0,102.203384,7.0,90.0,0.0,44.547424,0.415,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,06:00:00,4,117.0,126.101685,14.0,103.0,0.0,44.238888,0.5075,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,07:00:00,4,213.0,237.45761,41.0,172.0,0.0,44.328495,0.97249997,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,08:00:00,4,670.0,757.75867,125.0,545.0,0.0,38.403328,3.3874998,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,09:00:00,4,1046.0,1185.7627,240.0,806.0,0.0,33.445984,6.085,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,10:00:00,4,879.0,967.11865,144.0,735.0,0.0,40.430866,4.1875,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,11:00:00,4,822.0,918.10345,131.0,691.0,0.0,37.33359,4.2525,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,12:00:00,4,763.0,832.8813,112.0,651.0,0.0,39.665756,3.5575,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,13:00:00,4,809.0,881.6949,116.0,693.0,0.0,40.72314,3.6399999,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,14:00:00,4,799.33,877.46954,126.0,665.0,0.0,40.1354,3.6725,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,15:00:00,4,909.0,997.82874,142.0,767.0,0.0,39.9202,4.4,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,16:00:00,4,896.0,991.55176,125.0,771.0,0.0,40.048065,4.2349997,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,17:00:00,4,980.0,1084.5762,173.0,807.0,0.0,39.62098,4.8575,0.0
VL9SB00,基隆路一段8號前,往北,2016-04-01,18:00:00,4,1040.0,1162.8813,207.0,833.0,0.0,34.736088,6.035,0.0
